hin_Deva,urd_Arab,eng_Latn,doi_Deva
परंतु मंगल पांडे ने यह साहसिक कारनामा एक ऊँचे और श्रेष्ठ सिद्धांत के प्रति समर्पण के लिए किया।,لیکن منگل پانڈے کا دلیرانہ کارنامہ ایک اعلیٰ اور عظیم اصول کے تئیں لگن کے تحت انجام دیا گیا تھا۔,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,पर मंगल पांडे दा वीरतापूर्ण कम्म इक उच्च ते महान सिद्धांत दे प्रति समर्पण कारण कीता गेआ हा।
प्याज जब पारभासी हो जाए तो उसमें मसालों के मिश्रण में कुछ समय से रखे गए मांस और पिसी हल्दी डाल कर 5-6 मिनट तक हल्का-सा तलते रहें जब तक कि मांस सभी मसालों को सोख न ले।,"ایک بار جب پیاز نیم شفاف ہو جائے، تو ہلدی کے پاؤڈر کے ساتھ مرینیٹ کیا ہوا مٹن شامل کرلیں اور کچھ دیر تک بھون لیں جب تک کہ پورے مصالحے مٹن میں جذب نہ ہوجائیں تقریباً 5-6 منٹ تک۔","Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","गंढें दे पारदर्शी होई जाने बाद, हल्दी पाउडर कन्नै मैरीनेट कीते दा मटन पाओ ते लगभग 5-6 मिंट उसले तक्कर भुन्नो जिसले तक्कर सारे मसाले मटन च रची नेईं जान।"
"हितोपदेश एक पुस्तक है जिसमें सांसारिक ज्ञान पक्षियों, पशुओं, और मनुष्यों के चरित्रों के माध्यम से प्रस्तुत किया गया है।","ہتوپدیشا، پرندوں، جانوروں اور انسانوں کے کرداروں کے ذریعے پیش کی گئی دنیوی حکمت کی ایک کتاب ہے۔","Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","हितोपदेश पक्खरुएं, जानवरें ते मनुक्खें दे चरित्रें राहें पेश संसारी ग्यान दी कताब ऐ।"
ऐसा प्रतीत होता है कि पुस्तक का उद्देश्य संस्कृत अभिव्यक्ति में प्रवीणता और विवेकपूर्ण व्यवहार के ज्ञान को प्रोत्साहित करना है।,اس کتاب کا مقصد سنسکرت میں اظہار میں لیاقت اور دانشمندانہ رویے کے علم کو فروغ دینا معلوم ہوتا ہے۔,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,कताबा दा उद्देश संस्कृत अभिव्यक्ति च म्हारत ते समझदार ब्यहार दे बोध गी प्रोत्साहत करना सेही होंदा ऐ।
"प्रोफेसर असितकुमार बन्दोपाध्याय ने 1994 और 1995 में अपने गृह-नगर, हावड़ा के संपूर्ण इतिहास को हावड़ा शहरेर इतिवृत्त (पहला और दूसरा खंड) नाम से संकलित करने में महत्वपूर्ण भूमिका निभाई है।",پروفیسر اسیت کمار بندیوپادھیائے نے 1994 اور 1995 میں اپنے آبائی شہر ہاوڑہ کی مکمل تاریخ مرتب کرنے میں رہنمایانہ کردار ادا کیا جس کا عنوان ہاوڑہ سہریر ایتیبریتو (پہلی اور دوسری جلد) ہے۔,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,प्रोफेसर असितकुमार बंद्योपाध्याय ने 1994 ते 1995 च हावड़ा सहरेर इटिब्रिटो ( पैह्‌‌ला ते दूआ खंड ) दे रूप च अपने नगर हावड़ा दे पूरे इतिहास गी संकलत करने च पथ-प्रदर्शक दी भूमिका नभाई।
चैत्य के सभागृह में सामने की ओर अर्ध-वृत्ताकार चैत्य चाप रूपांकित है जिसका सामने का हिस्सा खुला है जहां पर लकड़ी का भवनमुख है और किसी-किसी में मुख्य चैत्य चाप वाली खिड़की नहीं है।,‏چیتیا ہال کے سامنے ایک نیم دائروی چیتیا محراب کی امتیازی خصوصیت نمایاں ہے جس کے ساتھ ایک کھلا فرنٹ ہے جس میں لکڑی کا اگواڑہ ہے اور بعض صورتوں میں کوئی غالب چیتیا محرابی کھڑکی نہیں ہے۔‏,"The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","चैत्य हाल दे आगे उप्पर लकड़ी दे मुहारे आह्‌ला, सामनेआ खुऱल्ला इक अर्ध - वृत्ताकार चैत्य मेह्‌‌राब दा रूप-अंकन हावी ऐ, ते किश मामलें च, कोई प्रमुख चैत्य मेह्‌‌राब दुआरी नेईं ऐ।"
महाराजों और खानसामों (जैसा कि कुशल रसोइयों को परंपरागत रूप से भारत में कहा जाता है) की पीढ़ियों ने सदियों से इन पाक-विधियों को परिपूर्ण कर दिया है और अब ये पाक-विधियाँ सहस्रों वर्षों में मौखिक परमपरा के माध्यम से आगे बढ़ती आई हैं।,'مہاراج' اور 'خانساماؤں' (جیسا کہ ہندوستان میں ماہر باورچیوں کو روایتی طور پر کہا جاتا رہا ہے) کی نسلوں نے صدیاں گزرنے کے ساتھ ساتھ ترکیبوں کو کامل ترین بنا دیا اور یہ ترکیبیں ہزاروں سالوں کے دوران شفوی روایت کے ذریعے منتقل ہوئی ہیں۔,Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years.,'महाराज' ते 'खानसामें' दियें पीढ़ियें ( पारंपरिक रूप कन्नै माहिर रसोइयें गी भारत च आखेआ जंदा ऐ ) सदियें थमां व्यंजनें गी सिद्ध कीता ऐ ते एह्‌‌ व्यंजन ज्हारें बʼरें थमां मौखिक परंपरा चा लंघे न।
"पारंपरिक रूप से रसोइयों के दल की सहायता से तैयारी वास्ता वाज़ा, या प्रधान रसोइये द्वारा की जाती है।","تیاری روایتی طور پر واستا وازہ، یا صدر باورچی کے ذریعے، وازاؤں کی ایک جماعت یا باورچیوں کی مدد کے ساتھ کی جاتی ہے۔","The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.",त्यारी परंपरागत ढंगै कन्नै बड्डे खानसामे द्वारा मते हारे रसोइयें दी मदद कन्नै होंदी ऐ।
"पाव भाजी: यह महाराष्ट्र का एक फास्ट फूड व्यंजन है, जिसमें सब्जियों का गाढ़ा मिश्रण होता है जिसे सामान्यतया मक्खन में पकाया जाता है और एक नर्म ब्रेड रोल (पाव) के साथ परोसा जाता है।","پاو بھاجی: یہ مہاراشٹر کا ایک فاسٹ فوڈ پکوان ہے، جس میں گاڑھا سبزیوں کا سالن (بھاجی) ہوتا ہے جو عام طور پر مکھن میں بنایا جاتا ہے اور نرم روٹی کے رول (پاؤ) کے ساتھ پیش کیا جاتا ہے۔","Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav).","पाऽ भाजी : एह्‌‌ महाराष्ट्र दा इक फास्ट फूड व्यंजन ऐ, जेह्‌‌‌दे च आमतौरा पर मक्खनै च बनाई दी लुग्ग-पलुग्गी सब्जी ( भाजी ) होंदी ऐ ते जिस्सी पुल्ले ब्रैड्ड रोल ( पाऽ ) कन्नै परोसेआ जंदा ऐ।"
"हब्बा खातून और लल्ल-द्यद की कश्मीरी रचनाएं उनके आध्यात्मिक अंदाज़ और गहन भावनाओं की अभिव्यक्ति के लिए जानी जाती हैं, राजस्थान में मीराबाई की रचनाएं उनकी अद्वितीय भक्ति के लिए लोकप्रिय हैं, तमिल में आण्डाल का गूढ़ ज्ञान तथा कन्नड़ में अक्का महादेवी के वचन उस समय के साहित्य में महिलाओं के व्यापक योगदान के प्रमाण हैं।","‏لال دید اور حبہ خاتون کی کشمیری تصانیف اپنی صوفیانہ چاشنی اور کرب کے شدت اظہار لیے مشہور ہیں، راجستھانی میں میرابائی کی نظمیں انوکھے بھکتی معیار کے لیے جانی جاتی ہیں، تمل میں اندل کی باطنیت اور کنڑا میں اکا مہادیوی کی واچنائیں اس وقت کے ادب میں خواتین کی عظیم حصہ داری کی گواہ ہیں۔‏","The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabai's compositions in Rajasthani is known for unique devotional quality, Andal's mysticism in Tamil and Akka Mahadevi's vachanas in Kannnada are testimonies to the great contribution of women to the literature of the time.","लल्ल देद ते हब्बा खातून हुंदियां कश्मीरी रचनां अपने रहस्यवादी रस ते अभिव्यक्ति दी त्रिक्खी वेदना आस्तै जानियां जंदियां न, राजस्थानी च मीराबाई दियां रचनां बेजोड़ भगती गुणवत्ता आस्तै जानियां जंदियां न, तमिल च अंडाल दा रहस्यवाद ते कन्नड़ च अक्का महादेवी दे वचन उस समें दे साहित्य च महिलाएं दे महान जोगदान दे सबूत न ।"
"बाघ गुफाएं, जिनमें बौद्ध भित्ति चित्र बने हुए हैं, मध्य प्रदेश के धार ज़िले से 97 कि.मी. की दूरी पर स्थित हैं।","‏باگھ کے غار، جو بدھ مت کی دیواروں کی مصوری پر مشتمل ہیں، مدھیہ پردیش کے دھار ضلع سے 97 کلومیٹر کی دوری پر واقع ہیں۔‏","The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from the Dhar district of Madhya Pradesh.",मध्य प्रदेश दे धार जिले शा 97 किलोमीटर दी दूरी उप्पर बौद्ध भित्ती चित्तरें आह्‌‌‌लियां बाग गुफां स्थित न।
"संस्कृत साहित्य में मूल शब्द का सामान्य अर्थ है किसी पौधे या वृक्ष की जड़, किंतु लाक्षणिक रूप में, यह किसी भी वस्तु का निचला हिस्सा या तल हो सकता है।","سنسکرت ادب میں لفظ مول کا عمومی معنیٰ کسی پودے یا درخت کی جڑ ہوتا ہے، لیکن تمثیلی طور پر، کسی بھی چیز کا پایہ، نچلا حصہ یا پیندا ہوتا ہے۔","The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree, but figuratively, the foot or lowest part or bottom of anything.","संस्कृत साहित्य च मूल शब्द दा सधारण अर्थ बूह्‌‌टे जां रुक्खै दी जढ़ ऐ, पर लाक्षणिक रूप कन्नै, कुसै बी चीजा दा पैर जां सभनें शा खʼलका हिस्सा जां थल्ला।"
सिंधु घाटी सभ्यता विभिन्न क्षेत्रों में अपने तकनीकी ज्ञान के लिए जानी जाती है।,‏وادی سندھ کی تہذیب مختلف شعبوں میں اپنی ٹکنالوجی کے علم کے لیے مشہور ہے۔‏,Indus Valley Civilisation is known for its technological knowledge in a variety of fields.,सिंधु घाटी दी सभ्यता भांती-भांती दे खेतरें च अपने तकनीकी ग्यान मूजब जानी जंदी ऐ।
सभी कौरव मर जाते हैं; केवल पाँच पांडव भाई और कृष्ण जीवित बचते हैं।,سارے کورو مر جاتے ہیں؛ صرف پانچ پانڈو بھائی اور کرشن زندہ بچ جاتے ہیں۔,All the Kauravas die; only the five Pandava brothers and Krishna survive.,सारे कौरव मरी जंदे न ; छड़े पंज पांडव भ्राऽ ते कृष्ण जींदे रौंह्‌दे न।
युद्ध अठारह दिनों तक चलता रहता है और कौरवों की पराजय के साथ समाप्त होता है।,‏یہ جنگ اٹھارہ دن تک جاری رہتی ہے اور کورووں کی شکست کے ساتھ ختم ہوتی ہے۔‏,The battle rages for eighteen days and ends with the defeat of the Kauravas.,जुद्ध ठाह्‌रें दिनें तक्कर चलदा ऐ ते कौरवें दी हारा दे कन्नै खत्म होंदा ऐ।
"महाभारत की केंद्रीय कथा हस्तिनापुर के सिंहासन पर उत्तराधिकार के लिए संघर्ष की कहानी है, एक ऐसा राज्य जो आधुनिक दिल्ली के ठीक उत्तर में है और जो भरत नाम से जानी जाने वाली एक जनजाति का पैतृक क्षेत्र है।","مہابھارت کی مرکزی کہانی جدید دہلی کے شمال میں واقع ایک سلطنت ہستنا پورہ، جو بھرت کے نام سے معروف ایک قبیلے کی آبائی مملکت تھی، کے تخت کی جانشینی سے متعلق ایک تنازع ہے۔","The central story of the Mahabharata is a conflict over succession to the throne of Hastinapura, a kingdom just north of modern Delhi that was the ancestral realm of a tribe most commonly known as the Bharatas.",महाभारत दी केंदरी क्हानी हस्तिनापुर दे संघासन दे उत्तराधिकार उप्पर झगड़े दी ऐ । हस्तिनापुर आधुनिक दिल्ली दे ठीक उत्तर च इक राज हा जेह्‌‌ड़ा इक जनजाति दा पुश्तैनी खेतर हा जिस्सी आमतौरा पर भरत दे नांऽ कन्नै जानेआ जंदा हा।
कर्नाटक में शाकाहारी लोगों की संख्या मांसाहारी लोगों से अधिक है; इसलिए उनके भोजन में मुख्य रूप से शाकाहारी व्यंजन होते हैं।,"کرناٹک میں سبزی خوروں کی تعداد گوشت خوروں کی تعداد سے زیادہ ہے؛ اس لیے، ان کے کھانے بنیادی طور پر نباتی پکوانوں پر مشتمل ہوتے ہیں۔","The number of vegetarians exceeds the number of non-vegetarians in Karnataka; therefore, their cuisine mainly consists of vegetarian dishes.","कर्नाटक च शाकाहारियें दी गिनती मासाहारियें दी गिनती कोला मती ऐ ; इस करियै, उंʼदे भोजन च मुक्ख रूपा कन्नै शाकाहारी व्यंजन होंदे न।"
"उन्हें संजय से, जो उन्हें बता रहा है कि युद्ध के मैदान में क्या हो रहा है, उत्तर मिलता है।","‏اس کو سنجے جواب دیتا ہے، جو بتاتا ہے کہ میدان جنگ میں کیا ہو رہا ہے۔‏","He is answered by Sanjaya, who relates what is happening on the battlefield.","ओह्‌‌‌दा जवाब संजय द्वारा दित्ता जंदा ऐ, जेह्‌‌ड़ा दसदा ऐ जे जुद्धै दे मदानै च केह्‌‌ होआ दा ऐ।"
तमिल में मिलने वाले दो महाकाव्य सिलप्पदिकारम् और मणिमेकलै हैं।,تامل زبان میں پائے جانے والے دو رزمیے سیلاپتھکارم اور منی میکلئی ہیں۔,The two epics found in Tamil are Cilapathikaram and Manimekalai.,तमिल च पाए जाने आह्‌‌‌ले दो महाकाव्य सिलापथिकरम ते मणिमेकलई न।
इस क्षेत्र में मिर्च के पाउडर का उपयोग सावधानी से किया जाता है।,اس خطے میں مرچ کے سفوف کا استعمال احتیاط کے ساتھ کیا جاتا ہے۔,The use of chilli powder in this region is done cautiously.,इस खित्ते च मर्चें दे पाउडर दा इस्तेमाल सावधानी कन्नै कीता जंदा ऐ।
"योग शब्द संस्कृत की युज् धातु से निकला है, जिसका अर्थ है जोड़ना या जोतना या सम्मिलित करना।","لفظ یوگا سنسکرت کی جڑ یوج سے ماخوذ ہے، جس کا مطلب ہے ملانا یا جوڑنا یا متحد کرنا۔","The word Yoga is derived from the Sanskrit root Yuj, meaning to join or to yoke or to unite.","योग शब्द दी उत्पत्ति संस्कृत धातु युज थमां होई दी ऐ, जिसदा अर्थ ऐ जोड़ना जां जुगड़ना जां इकजुट करना।"
आज का ओड़िसी उड़ीसा के मंदिरों की दीवारों पर विभिन्न रूपांकनों में उत्कीर्ण अनगिनत प्रतिमाओं से विकसित हुआ है।,‏آج کی اوڈیسی اڑیسہ کے مندر کی دیواروں پر تراشے گئے مختلف نقوش میں لامتناہی مجسموں سے ارتقا پذیر ہوئی ہے۔‏,Today's Odissi has evolved from the endless sculptures in various motifs carved on the temple walls of Orissa.,अज्जै दा ओडिसी नाच उड़ीसा दे मंदरै दियें कंधें उप्पर तराशे गेदे बक्ख-बक्ख रूप-अंकनें चा अनसंभ मूर्तियें थमां विकसत होआ ।
"वशिष्ठ अब राजा की ओर घूमे और धीरे से बोले: ""राजा , आपको शोभा नहीं देता कि आपने जिस चीज़ का एक बार वचन दिया था उससे आप मुकर जाएं।","وششٹ اب راجا کی طرف مڑا اور آہستہ سے کہا: ""مہاراج، ایک بار وعدہ کرکے انکار کرنا آپ پر نہیں جچتا ہے""۔","Vasishtha now turned to the King and spoke gently: ""It ill becomes you, King, to refuse having promised once"".","वशिष्ठ हून राजे बक्खी मुड़े ते बल्लै जेही बोल्ले : ''राजा, इक बारी वायदा करने कन्नै इंकार करना तुंʼदे लेई माड़ा ऐ।''"
"केवल तब जब उनको अर्जुन की हताशा की हद समझ में आई, कृष्ण ने अपना रवैया बदला और दुनिया में धार्मिक संघर्षों के रहस्य को सिखाना शुरू किया।",‏جیسے ہی انھیں ارجن کی مایوسی کی حد کا احساس ہوتا ہے تب کرشن اپنا رویہ تبدیل کرتے ہیں اور اس دنیا میں دھارمک عمل کے اسرار سکھانا شروع کرتے ہیں۔‏,Only when he realizes the extent of Arjuna's despondency does Krishna change his attitude and start teaching the mysteries of dharmic action in this world.,"सिर्फ उसलै जिसलै उʼनें गी अर्जुन दी नराशा दी सीमा दा ऐह्सास होंदा ऐ, उसलै कृष्ण अपना द्रिश्टीकोण बदलदे न ते इस दुनिया च धार्मिक कम्में दे रहस्य सखाना शुरू करदे न।"
"जैसे-जैसे आप पात्र में चावल का आटा डाल रहे हों, बीच-बीच में आप कम मात्रा में घिसा हुआ नारियल भी डालें।","جیسے جیسے آپ برتن میں چاول کا آٹا ڈالتے ہیں، بیچ بیچ میں، آپ گھسے ہوئے ناریل کی تھوڑی سی مقدار بھی شامل کرسکتے ہیں۔","As you add the rice flour into the container, in between, you may also add small quantities of grated coconut.","जिʼयां तुस चौलें दा आटा कन्टेनर च पांदे ओ, बिच्च-­बिच्च तुस थोह्‌ड़ी मात्तरा च छूरे दा खोपा बी पाई सकदे ओ।"
"आप बेलनाकार पात्र में एक चम्मच-भर कद्दूकस किया हुआ नारियल मिला कर शुरू कर सकते हैं, जिसके बाद अच्छी तरह मिश्रित चावल का आटा उसमें मिला दें।",آپ ایک اسطوانی برتن میں چمچ بھر گھسے ہوئے ناریل کو ڈال کر شروع کرسکتے ہیں اور پھر اچھی طرح سے ملایا ہوا چاول کا آٹا شامل کرسکتے ہیں۔,"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well-mixed rice flour.","तुस बेलनाकार कंटेनर च इक चिमचा छूरे दा खोपा पाइयै शुरू करी सकदे ओ, एह्‌‌‌दे परैंत्त चंगी चाल्ली कन्नै मिश्रत चौलें दा आटा पाई सकदे ओ।"
महाराजा रणजीत सिंह के दान के कारण 1835 ई. के आस-पास नांदेड में एक सुंदर और असाधारण गुरुद्वारे का निर्माण हुआ जिसमें जटिल नक्काशी वाला एक भव्य स्वर्ण गुंबद है।,مہاراجا رنجیت سنگھ کے عطیے سے 1835 کے آس پاس ناندیڑ میں نفیس نقاشی والے ایک خوبصورت اور دلکش گرودوارے کی تعمیر عمل میں آئی جس میں ایک عظیم الشان سنہری گنبد تھا۔‏,Maharaja Ranjit Singh's endowment saw the construction of a beautiful and breathtaking Gurudwara featuring an imposing golden dome with intricate carving at Nanded around 1835 A.D.,"महाराजा रणजीत सिंह दी बंदोबस्ती कन्नै 1835 ईस्वी दे आस्सै-पास्सै, नंदेड़ च इक शैल ते लुभावने गुरुद्वारे दा निरमान दिक्खेआ गेआ जिसदी विशेषता ऐ घनी नकाशी आह्‌ला इक मंगलकारी सुन्ने दा गुंबद ।"
सामवेद इन चुनी हुई ऋचाओं का एक संग्रह है जिन्हें प्रस्तावित छंद या लयबद्ध ताल पर निर्धारित करते हुए स्वरों में व्यवस्थित किया गया है।,سام وید ان منتخبہ رُچاؤں کی تدوین ہے جنہیں ان کے مجوزہ چھندوں یا سُر کی بحروں کو برقرار رکھتے ہوئے سوراؤں میں ترتیب دیا گیا ہے۔,Samaveda is the compilation of these selected Ruchas set to Svaras keeping their proposed Chanda or rhythmic meters.,सामवेद इʼन्न चुनी होई ऋचाऋचाएं दा इक संगैह्‌‌ ऐ जिʼनें प्रस्तावित छंद जां लयबद्ध ताल पर निर्धारित करदे होए सुरें च व्यवस्थित कीता गेआ ऐ।
वाल्मीकि द्वारा किए गए राजधानी कोशल के वर्णन से यह सुस्पष्ट है किअयोध्या की प्राचीन राजधानी हमारे आधुनिक शहरों से किसी भी तरह से कम नहीं थी।,‏والمیکی کے کوشل راجدھانی کے بارے میں بیان سے یہ بات واضح ہے کہ قدیم ایودھیا ہمارے جدید شہروں سے کسی طرح بھی کم نہیں تھا۔‏‏,"From Valmiki's description of the capital of Kosala, it is clear that ancient Ayodhya was not inferior to our modern cities.",वाल्मीकि द्वारा कीते गे कोशल राजधानी दे वर्णन शा एह्‌‌ सुस्पष्ट ऐ किअयोध्या दी परानी राजधानी साढ़े अधुनिक शैह्‌‌‌रें शा कुसै बी चाल्ली घट्ट नेईं ही।
"एक बार ऐसा कह देने पर कि 'मैं यह करूँगा', तुम्हारे पास इसे करने के अलावा कोई विकल्प नहीं रह जाता है।",‏ایک بار یہ کہنے کے بعد کہ 'میں یہ کروں گا' آپ کے پاس اسے کرنے کے علاوہ کوئی اور متبادل نہیں رہ جاتا ہے۔‏,"Having once said, 'I will do', you have no option but to do it.","इक बारी आखने दे परैंत्त, 'में एह्‌‌ करगा, तुंʼदे कोल इसगी करने दे अलावा कोई चारा नेईं ऐ।'"
"हाल के वर्षों में, रुपये की विनिमय दर तथा विदेशी मुद्रा आरक्षित भंडार की पर्याप्तता पर भिन्न-भिन्न दृष्टिकोण सामने आए हैं।",حالیہ دنوں میں روپے کی شرح مبادلہ اور ہمارے زر مبادلہ کے ذخائر کی مقدار پر مختلف نظریات سامنے آئے ہیں۔,"In recent days, there have been divergent views on the exchange rate of the rupee and the adequacy of our forex reserves.","हाल दे दिनें च, रपेऽ दी विनिमय दर ते साढ़े बदेसी धन भंडार दी पर्याप्तता पर बक्खरे - बक्खरे बिचार रेह् न।"
